,1,2,3,4,5,6,7,8,9,10,11,12
A,1.057,0.612,0.365,0.293,0.18100000000000002,0.17600000000000002,1.045,0.633,0.354,0.23600000000000002,0.17300000000000001,0.11800000000000001
B,1.016,0.607,0.364,0.263,0.175,0.18899999999999997,1.047,0.602,0.35600000000000004,0.235,0.179,0.107
C,1.017,0.71,0.353,0.27399999999999997,0.18100000000000002,0.159,1.04,0.6,0.366,0.243,0.256,0.124
D,1.032,0.602,0.36200000000000004,0.272,0.179,0.16899999999999998,1.0659999999999998,0.596,0.36200000000000004,0.22899999999999998,0.191,0.12300000000000001
E,1.03,0.618,0.375,0.263,0.19,0.187,1.047,0.612,0.37200000000000005,0.257,0.195,0.126
F,1.006,0.596,0.358,0.242,0.168,0.162,1.04,0.595,0.359,0.23399999999999999,0.183,0.155
G,1.03,0.596,0.363,0.261,0.17300000000000001,0.172,1.037,0.612,0.384,0.242,0.21600000000000003,0.146
H,1.031,0.617,0.354,0.25,0.158,0.184,1.004,0.613,0.37200000000000005,0.251,0.18899999999999997,0.14
