,1,2,3,4,5,6,7,8,9,10,11,12
A,0.927125,0.482125,0.235125,0.163125,0.05112500000000003,0.04612500000000003,0.915125,0.503125,0.224125,0.10612500000000002,0.043125000000000024,-0.011874999999999983
B,0.886125,0.477125,0.234125,0.13312500000000002,0.045125,0.05912499999999998,0.917125,0.472125,0.22612500000000005,0.105125,0.049125,-0.022874999999999993
C,0.8871249999999999,0.580125,0.223125,0.14412499999999998,0.05112500000000003,0.029125000000000012,0.9101250000000001,0.470125,0.236125,0.113125,0.12612500000000001,-0.005874999999999991
D,0.9021250000000001,0.472125,0.23212500000000005,0.14212500000000003,0.049125,0.03912499999999999,0.9361249999999999,0.466125,0.23212500000000005,0.09912499999999999,0.06112500000000001,-0.006874999999999978
E,0.9001250000000001,0.48812500000000003,0.245125,0.13312500000000002,0.06012500000000001,0.05712500000000001,0.917125,0.482125,0.24212500000000006,0.12712500000000002,0.06512500000000002,-0.0038749999999999896
F,0.876125,0.466125,0.228125,0.112125,0.03812500000000002,0.032125000000000015,0.9101250000000001,0.465125,0.229125,0.104125,0.053125000000000006,0.02512500000000001
G,0.9001250000000001,0.466125,0.233125,0.13112500000000002,0.043125000000000024,0.042124999999999996,0.907125,0.482125,0.25412500000000005,0.112125,0.08612500000000003,0.016125
H,0.901125,0.48712500000000003,0.224125,0.12012500000000001,0.02812500000000001,0.054125000000000006,0.874125,0.483125,0.24212500000000006,0.12112500000000001,0.05912499999999998,0.010125000000000023
